loan_id,customer_id,loan_amount,interest_rate,loan_term,monthly_payment,loan_status,purpose,credit_score,annual_income,employment_length,debt_to_income,application_date,approval_date,disbursement_date
L001,C1001,15000,5.5,36,452.54,Fully Paid,Debt Consolidation,720,65000,5,0.35,2023-01-15,2023-01-18,2023-01-20
L002,C1002,25000,6.2,60,485.83,Current,Home Improvement,680,58000,3,0.42,2023-01-20,2023-01-23,2023-01-25
L003,C1003,10000,7.8,24,452.27,Charged Off,Small Business,650,45000,2,0.48,2023-02-01,2023-02-05,2023-02-07
L004,C1004,30000,5.0,48,690.06,Current,Major Purchase,750,85000,8,0.28,2023-02-10,2023-02-12,2023-02-14
L005,C1005,12000,8.5,36,378.43,Late (31-120 days),Credit Card,620,42000,1,0.55,2023-02-15,2023-02-18,2023-02-20
L006,C1006,20000,6.0,60,386.66,Fully Paid,Car,710,72000,6,0.32,2023-03-01,2023-03-04,2023-03-06
L007,C1007,8000,9.0,24,365.42,Current,Medical,640,38000,2,0.52,2023-03-10,2023-03-13,2023-03-15
L008,C1008,35000,4.8,60,658.36,Current,Wedding,740,92000,10,0.25,2023-03-20,2023-03-22,2023-03-24
L009,C1009,18000,7.2,48,433.99,Fully Paid,Vacation,690,55000,4,0.38,2023-04-01,2023-04-04,2023-04-06
L010,C1010,22000,6.5,60,432.25,Current,Debt Consolidation,700,68000,7,0.36,2023-04-15,2023-04-18,2023-04-20
L011,C1011,16000,8.0,36,502.11,Late (16-30 days),Home Improvement,660,48000,3,0.45,2023-05-01,2023-05-04,2023-05-06
L012,C1012,28000,5.5,48,643.46,Fully Paid,Small Business,730,78000,9,0.30,2023-05-10,2023-05-12,2023-05-14
L013,C1013,9000,9.5,24,411.47,Charged Off,Credit Card,610,35000,1,0.58,2023-05-20,2023-05-23,2023-05-25
L014,C1014,32000,5.2,60,608.33,Current,Major Purchase,760,95000,12,0.22,2023-06-01,2023-06-04,2023-06-06
L015,C1015,14000,7.5,36,435.67,Current,Car,670,52000,4,0.40,2023-06-15,2023-06-18,2023-06-20
L016,C1016,26000,6.8,60,515.65,Fully Paid,Wedding,720,70000,6,0.33,2023-07-01,2023-07-04,2023-07-06
L017,C1017,11000,8.8,24,501.21,Current,Medical,645,40000,2,0.50,2023-07-10,2023-07-13,2023-07-15
L018,C1018,40000,4.5,60,745.42,Current,Debt Consolidation,780,105000,15,0.20,2023-07-20,2023-07-22,2023-07-24
L019,C1019,19000,7.0,48,455.97,Fully Paid,Home Improvement,695,60000,5,0.37,2023-08-01,2023-08-04,2023-08-06
L020,C1020,24000,6.3,60,471.36,Current,Small Business,715,75000,8,0.31,2023-08-15,2023-08-18,2023-08-20
L021,C1021,13000,8.2,36,409.89,Late (31-120 days),Credit Card,635,44000,2,0.53,2023-09-01,2023-09-04,2023-09-06
L022,C1022,29000,5.8,48,682.74,Fully Paid,Major Purchase,745,88000,11,0.27,2023-09-10,2023-09-12,2023-09-14
L023,C1023,7500,9.2,24,343.04,Charged Off,Vacation,625,36000,1,0.56,2023-09-20,2023-09-23,2023-09-25
L024,C1024,33000,5.0,60,623.24,Current,Car,755,98000,13,0.23,2023-10-01,2023-10-04,2023-10-06
L025,C1025,17000,7.8,36,530.38,Current,Wedding,685,56000,4,0.39,2023-10-15,2023-10-18,2023-10-20
L026,C1026,21000,6.5,60,412.60,Fully Paid,Medical,705,66000,7,0.34,2023-11-01,2023-11-04,2023-11-06
L027,C1027,12500,8.5,24,570.13,Current,Debt Consolidation,655,46000,3,0.47,2023-11-10,2023-11-13,2023-11-15
L028,C1028,38000,4.8,60,714.77,Current,Home Improvement,770,102000,14,0.21,2023-11-20,2023-11-22,2023-11-24
L029,C1029,15500,7.2,48,373.61,Fully Paid,Small Business,690,58000,5,0.38,2023-12-01,2023-12-04,2023-12-06
L030,C1030,23000,6.0,60,444.66,Current,Credit Card,710,72000,6,0.32,2023-12-15,2023-12-18,2023-12-20
